wl,n
0.25303,2.29125
0.25355,2.29679
0.25407,2.30237
0.25459,2.30797
0.25511,2.31361
0.25564,2.31923
0.25617,2.32488
0.25670,2.33056
0.25723,2.33623
0.25776,2.34197
0.25830,2.34769
0.25884,2.35345
0.25938,2.35925
0.25992,2.36506
0.26047,2.37088
0.26102,2.37673
0.26157,2.38258
0.26212,2.38846
0.26268,2.39439
0.26324,2.40033
0.26380,2.40627
0.26436,2.41226
0.26492,2.41826
0.26549,2.42426
0.26606,2.43031
0.26663,2.43637
0.26721,2.44245
0.26778,2.44858
0.26836,2.45471
0.26895,2.46089
0.26953,2.46708
0.27012,2.47329
0.27071,2.47955
0.27130,2.48581
0.27190,2.49209
0.27249,2.49840
0.27309,2.50472
0.27370,2.51110
0.27430,2.51750
0.27491,2.52390
0.27552,2.53033
0.27613,2.53677
0.27675,2.54327
0.27737,2.54980
0.27799,2.55635
0.27862,2.56291
0.27924,2.56948
0.27987,2.57609
0.28051,2.58274
0.28114,2.58940
0.28178,2.59613
0.28242,2.60287
0.28307,2.60965
0.28372,2.61642
0.28437,2.62324
0.28502,2.63006
0.28568,2.63691
0.28634,2.64382
0.28700,2.65076
0.28767,2.65772
0.28834,2.66472
0.28901,2.67172
0.28968,2.67876
0.29036,2.68581
0.29104,2.69292
0.29173,2.70009
0.29242,2.70726
0.29311,2.71445
0.29380,2.72163
0.29450,2.72893
0.29520,2.73624
0.29591,2.74356
0.29661,2.75089
0.29732,2.75827
0.29804,2.76569
0.29876,2.77312
0.29948,2.78065
0.30020,2.78817
0.30093,2.79571
0.30166,2.80327
0.30240,2.81091
0.30314,2.81858
0.30388,2.82629
0.30463,2.83400
0.30538,2.84173
0.30613,2.84950
0.30689,2.85732
0.30765,2.86521
0.30842,2.87311
0.30919,2.88106
0.30996,2.88902
0.31074,2.89704
0.31152,2.90508
0.31230,2.91317
0.31309,2.92127
0.31388,2.92943
0.31468,2.93762
0.31548,2.94584
0.31629,2.95411
0.31710,2.96242
0.31791,2.97076
0.31873,2.97916
0.31955,2.98757
0.32037,2.99606
0.32120,3.00456
0.32204,3.01312
0.32288,3.02172
0.32372,3.03036
0.32457,3.03905
0.32542,3.04778
0.32627,3.05655
0.32714,3.06532
0.32800,3.07419
0.32887,3.08311
0.32975,3.09206
0.33062,3.10101
0.33151,3.11005
0.33240,3.11914
0.33329,3.12822
0.33419,3.13736
0.33509,3.14656
0.33600,3.15581
0.33691,3.16511
0.33783,3.17448
0.33875,3.18384
0.33968,3.19333
0.34062,3.20279
0.34155,3.21238
0.34250,3.22194
0.34345,3.23163
0.34440,3.24130
0.34536,3.25093
0.34632,3.26069
0.34729,3.27058
0.34827,3.28044
0.34925,3.29042
0.35024,3.30052
0.35123,3.31060
0.35223,3.32064
0.35323,3.33081
0.35424,3.34094
0.35526,3.35120
0.35628,3.36157
0.35730,3.37192
0.35834,3.38238
0.35937,3.39281
0.36042,3.40336
0.36147,3.41402
0.36253,3.42465
0.36359,3.43539
0.36466,3.44611
0.36574,3.45693
0.36682,3.46787
0.36791,3.47891
0.36900,3.48993
0.37010,3.50105
0.37121,3.51214
0.37232,3.52334
0.37345,3.53465
0.37457,3.54592
0.37571,3.55744
0.37685,3.56879
0.37800,3.58038
0.37916,3.59193
0.38032,3.60372
0.38149,3.61535
0.38267,3.62721
0.38385,3.63917
0.38504,3.65109
0.38624,3.66312
0.38745,3.67524
0.38867,3.68732
0.38989,3.69951
0.39112,3.71179
0.39236,3.72416
0.39360,3.73663
0.39485,3.74919
0.39612,3.76185
0.39739,3.77447
0.39866,3.78718
0.39995,3.79998
0.40124,3.81300
0.40255,3.82599
0.40386,3.83905
0.40518,3.85221
0.40651,3.86546
0.40784,3.87879
0.40919,3.89208
0.41054,3.90558
0.41191,3.91916
0.41328,3.93283
0.41466,3.94671
0.41605,3.96054
0.41746,3.97445
0.41887,3.98845
0.42029,4.00252
0.42171,4.01679
0.42315,4.03114
0.42460,4.04557
0.42606,4.05995
0.42753,4.07453
0.42901,4.08918
0.43050,4.10390
0.43200,4.11882
0.43351,4.13381
0.43503,4.14887
0.43656,4.16400
0.43811,4.17931
0.43966,4.19470
0.44122,4.21015
0.44280,4.22579
0.44439,4.24149
0.44599,4.25725
0.44760,4.27319
0.44922,4.28920
0.45085,4.30538
0.45250,4.32163
0.45415,4.33793
0.45582,4.35441
0.45751,4.37094
0.45920,4.38776
0.46091,4.40452
0.46263,4.42156
0.46436,4.43866
0.46611,4.45569
0.46786,4.47312
0.46964,4.49059
0.47142,4.50811
0.47322,4.52580
0.47504,4.54364
0.47686,4.56163
0.47870,4.57979
0.48056,4.59798
0.48243,4.61633
0.48431,4.63494
0.48621,4.65348
0.48813,4.67238
0.49006,4.69121
0.49200,4.71030
0.49396,4.72953
0.49594,4.74890
0.49793,4.76841
0.49994,4.78806
0.50196,4.80795
0.50400,4.82787
0.50606,4.84814
0.50813,4.86833
0.51022,4.88875
0.51233,4.90941
0.51446,4.93020
0.51660,4.95111
0.51876,4.97214
0.52094,4.99351
0.52314,5.01489
0.52536,5.03659
0.52759,5.05842
0.52985,5.08036
0.53212,5.10251
0.53441,5.12479
0.53673,5.14736
0.53906,5.17015
0.54142,5.19295
0.54379,5.21606
0.54619,5.23917
0.54860,5.26268
0.55104,5.28629
0.55350,5.31010
0.55598,5.33411
0.55849,5.35840
0.56101,5.38289
0.56356,5.40757
0.56614,5.43235
0.56873,5.45750
0.57136,5.48265
0.57400,5.50817
0.57667,5.53378
0.57937,5.55976
0.58209,5.58582
0.58483,5.61207
0.58760,5.63867
0.59040,5.66536
0.59323,5.69232
0.59608,5.71954
0.59896,5.74694
0.60187,5.77450
0.60480,5.80242
0.60777,5.83024
0.61076,5.85859
0.61378,5.88711
0.61684,5.91571
0.61992,5.94467
0.62304,5.97370
0.62618,6.00308
0.62936,6.03255
0.63257,6.06229
0.63582,6.09212
0.63909,6.12212
0.64241,6.15241
0.64575,6.18269
0.64913,6.21318
0.65255,6.24386
0.65600,6.27465
0.65949,6.30565
0.66302,6.33670
0.66658,6.36765
0.67018,6.39889
0.67383,6.42980
0.67751,6.46103
0.68123,6.49213
0.68500,6.52308
0.68880,6.55393
0.69265,6.58475
0.69654,6.61525
0.70048,6.64536
0.70446,6.67511
0.70848,6.70464
0.71255,6.73351
0.71667,6.76178
0.72084,6.78935
0.72505,6.81589
0.72932,6.84172
0.73363,6.86617
0.73800,6.88956
0.74242,6.91130
0.74689,6.93142
0.75142,6.94967
0.75600,6.96595
0.76064,6.97968
0.76533,6.99085
0.77009,6.99915
0.77490,7.00438
0.77977,7.00614
0.78471,7.00432
0.78971,6.99877
0.79477,6.98941
0.79990,6.97607
0.80509,6.95904
0.81035,6.93857
0.81569,6.91538
0.82109,6.88965
0.82656,6.86302
0.83211,6.83616
0.83773,6.81056
0.84343,6.78793
0.84921,6.76979
0.85506,6.75748
0.86100,6.75239
0.86702,6.75544
0.87313,6.76703
0.87932,6.78728
0.88560,6.81583
0.89197,6.85180
0.89844,6.89437
0.90499,6.94190
0.91165,6.99369
0.91840,7.04828
0.92526,7.10504
0.93221,7.16271
0.93927,7.22077
0.94644,7.27925
0.95372,7.33792
0.96112,7.39616
0.96863,7.45468
0.97625,7.51368
0.98400,7.57296
0.99187,7.63287
0.99987,7.69295
